lat,lon,region,excluded,mig_deg,u_star_cr,U_cr,n_timesteps,n_above,intermit_raw_pct,intermit_net_algo_pct,intermit_gross_mig_pct,intermit_net_mig_pct,center_algo_deg,center_mig_deg,sector_offset_deg,u_star_mean,q_m2s
39.25,79.25,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2900,11.024939172749392,6.5085158150851585,8.743917274939173,6.4628953771289535,1.0,0.0,1.0,0.3004458016310175,1.4620659110681439e-06
39.25,79.5,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2885,10.967913625304137,6.284215328467154,8.394160583941606,5.820407542579075,52.0,0.0,52.0,0.2996960203168129,1.4433232642214048e-06
39.25,80.0,Taklamakan,True,180.0,0.23487501346795883,5.408197047280978,26304,2966,11.275851581508515,6.9419099756691,8.150851581508515,5.025851581508515,55.0,0.0,55.0,0.298031665347978,1.4018859359558644e-06
39.25,80.25,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,2975,11.310066909975669,7.151003649635037,,,54.0,,,0.2981345417357389,1.4044405510775216e-06
39.25,80.5,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,3081,11.713047445255475,7.439933090024331,,,57.0,,,0.2990828541926422,1.4280304631338227e-06
39.25,80.75,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,3087,11.735857664233576,7.766879562043796,,,58.0,,,0.2996112026618018,1.4412059847340063e-06
39.25,81.0,Taklamakan,True,225.0,0.23487501346795883,5.408197047280978,26304,3082,11.716849148418492,8.00638686131387,9.82360097323601,7.930352798053528,54.0,45.0,9.0,0.30109546981501784,1.478343851131557e-06
39.25,81.25,Taklamakan,True,225.0,0.23487501346795883,5.408197047280978,26304,3137,11.925942822384428,8.344738442822385,10.093521897810218,8.26110097323601,50.0,45.0,5.0,0.30386357635542127,1.5480949724387337e-06
39.25,81.5,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,3135,11.918339416058394,8.375152068126521,10.142944038929441,8.367548661800486,44.0,45.0,1.0,0.3055444817449679,1.5907621464566418e-06
39.25,82.0,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,3206,12.188260340632603,8.857968369829683,,,48.0,,,0.30804893089954544,1.6547703037246024e-06
39.25,82.25,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,3286,12.492396593673966,9.124087591240876,,,46.0,,,0.30922354824612336,1.6849709155715253e-06
39.25,82.5,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,3378,12.842153284671532,9.473844282238442,11.138990267639903,9.435827250608272,43.0,45.0,2.0,0.3092838025365151,1.6865232141455798e-06
39.25,82.75,Taklamakan,True,225.0,0.23487501346795883,5.408197047280978,26304,3543,13.469434306569344,10.032694647201946,11.747262773722628,10.025091240875913,41.0,45.0,4.0,0.3096729349794357,1.6965555058653647e-06
39.25,83.0,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,3672,13.959854014598541,10.659975669099756,12.309914841849148,10.659975669099756,43.0,45.0,2.0,0.309786748775229,1.699492143573462e-06
39.25,83.75,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,4075,15.491940389294404,12.891575425790755,14.184154501216545,12.876368613138686,37.0,45.0,8.0,0.3098701675130029,1.7016452095219876e-06
39.25,84.0,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,4210,16.005170316301705,13.556873479318735,14.697384428223843,13.389598540145986,39.0,45.0,6.0,0.3110432947757041,1.7319854221880794e-06
39.25,84.25,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,4248,16.14963503649635,13.648114355231144,14.853254257907542,13.556873479318735,38.0,45.0,7.0,0.31389919247290626,1.8063258600457215e-06
39.25,84.5,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,4446,16.902372262773724,14.29440389294404,15.526155717761558,14.149939172749392,40.0,45.0,5.0,0.314866967596348,1.8316716616707558e-06
39.25,85.0,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,4931,18.746198296836983,16.183850364963504,15.974756690997568,13.20331508515815,33.0,90.0,57.0,0.3179480063267626,1.912882935318533e-06
39.25,85.25,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,5054,19.21380778588808,16.727493917274938,16.643856447688563,14.07390510948905,36.0,90.0,54.0,0.3197525061902045,1.9608138852730493e-06
39.25,85.5,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,5269,20.03117396593674,17.40799878345499,17.491636253041364,14.952098540145986,33.0,90.0,57.0,0.3220912687760089,2.0233394881614994e-06
39.25,86.25,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,5714,21.722931873479318,19.13777372262774,19.47992700729927,17.236922141119223,23.0,90.0,67.0,0.32913090499543324,2.2142904338786875e-06
39.25,86.5,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,6016,22.871046228710462,20.05778588807786,20.525395377128955,18.179744525547445,21.0,90.0,69.0,0.33168202505103456,2.2845089820894205e-06
39.25,86.75,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,6186,23.517335766423358,20.612834549878347,21.202098540145986,18.886861313868614,14.0,90.0,76.0,0.3338403542384949,2.3443395003304617e-06
39.25,87.0,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,6400,24.330900243309003,21.099452554744527,21.95103406326034,19.57116788321168,14.0,90.0,76.0,0.3380126234804705,2.4610981300578513e-06
39.25,87.25,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,6571,24.980991484184916,21.66590632603406,22.65815085158151,20.3353102189781,8.0,90.0,82.0,0.3432201561615911,2.608862578919333e-06
39.25,87.5,Taklamakan,False,270.0,0.23487501346795883,5.408197047280978,26304,6932,26.35340632603406,22.871046228710462,24.095194647201946,21.83698296836983,16.0,90.0,74.0,0.3493281446435486,2.7850564082149144e-06
39.25,91.0,Taklamakan,False,135.0,0.23487501346795883,5.408197047280978,26304,1214,4.615267639902676,2.8056569343065694,2.855079075425791,1.094890510948905,342.0,315.0,27.0,0.26443243110140674,6.147194381959296e-07
39.25,91.25,Taklamakan,False,90.0,0.23487501346795883,5.408197047280978,26304,1450,5.512469586374696,2.8512773722627736,1.802007299270073,-1.9084549878345498,340.0,270.0,70.0,0.2641827745202981,6.092224464203722e-07
39.25,91.5,Taklamakan,True,90.0,0.23487501346795883,5.408197047280978,26304,1864,7.086374695863747,3.9841849148418493,2.9577250608272507,-1.1709245742092458,338.0,270.0,68.0,0.2657653829273686,6.441565233152135e-07
39.25,91.75,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,2168,8.242092457420924,4.919403892944039,,,337.0,,,0.2693626575508648,7.243379388997953e-07
39.5,57.5,Karakum,True,90.0,0.2675189759105685,6.159852060247083,26304,5816,22.110705596107056,7.755474452554744,7.6262165450121655,-6.858272506082725,45.0,270.0,135.0,0.32424709682509456,1.8124970884307254e-06
39.5,57.75,Karakum,True,45.0,0.2675189759105685,6.159852060247083,26304,5901,22.433850364963504,8.101429440389294,7.196624087591241,-8.040602189781023,47.0,225.0,178.0,0.32378132620069267,1.7962005634582263e-06
39.5,58.0,Karakum,False,315.0,0.2675189759105685,6.159852060247083,26304,5967,22.68476277372263,8.572840632603405,14.27919708029197,5.873631386861314,46.0,135.0,89.0,0.3225545804574349,1.753390911187154e-06
39.5,58.5,Karakum,False,135.0,0.2675189759105685,6.159852060247083,26304,5333,20.27448296836983,7.531173965936739,7.911344282238443,-4.4517944038929445,23.0,315.0,68.0,0.3179393795084585,1.593790314417609e-06
39.5,58.75,Karakum,True,90.0,0.2675189759105685,6.159852060247083,26304,4943,18.79181873479319,7.318278588807786,6.675790754257908,-5.440237226277373,18.0,270.0,108.0,0.32032138765496737,1.6758765329366032e-06
39.5,59.0,Karakum,True,135.0,0.2675189759105685,6.159852060247083,26304,4602,17.49543795620438,7.086374695863747,7.052159367396594,-3.3911192214111923,24.0,315.0,69.0,0.3168503262437128,1.5564646236590695e-06
39.5,78.75,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,3507,13.33257299270073,10.405261557177615,10.747414841849148,8.162256690997568,355.0,45.0,50.0,0.2988407655019794,1.4220012223515277e-06
39.5,79.0,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,3159,12.009580291970803,8.960614355231144,,,355.0,,,0.29681946244833207,1.37185104740672e-06
39.5,79.25,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2884,10.96411192214112,7.360097323600973,9.12028588807786,7.276459854014599,357.0,0.0,3.0,0.2989872243727849,1.4256482104231494e-06
39.5,79.5,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2909,11.059154501216545,6.443886861313868,8.717305352798054,6.375456204379562,50.0,0.0,50.0,0.30037416679093665,1.460273196817722e-06
39.5,80.0,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2809,10.678984184914842,6.489507299270073,8.021593673965937,5.364203163017032,49.0,0.0,49.0,0.30062505964367736,1.4665538472118362e-06
39.5,80.25,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,2829,10.755018248175183,6.405869829683699,8.565237226277372,6.375456204379562,52.0,45.0,7.0,0.30137363451637555,1.485324233537982e-06
39.5,80.5,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,2903,11.036344282238442,6.649178832116788,8.063412408759124,5.090480535279806,46.0,0.0,46.0,0.30330697636409554,1.5340184196733652e-06
39.5,80.75,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,2929,11.135188564476886,7.318278588807786,9.226733576642335,7.318278588807786,44.0,45.0,1.0,0.3034901601453728,1.5386483340456053e-06
39.5,81.0,Taklamakan,True,,0.23487501346795883,5.408197047280978,26304,2992,11.37469586374696,7.732664233576642,,,46.0,,,0.3048291963448118,1.5725769677065174e-06
39.5,81.25,Taklamakan,False,180.0,0.23487501346795883,5.408197047280978,26304,3047,11.583789537712896,7.941757907542579,8.48920316301703,5.3946167883211675,46.0,0.0,46.0,0.3062756239748174,1.609394513486313e-06
39.5,81.5,Taklamakan,False,225.0,0.23487501346795883,5.408197047280978,26304,2978,11.32147201946472,7.930352798053528,9.60690389294404,7.892335766423358,47.0,45.0,2.0,0.30757415979180486,1.6425960709912622e-06
