region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
Chad,physics_colI,,16.09754299,0.3706634504593705,9.2e-07,0.02154197824984007,0.1113899027,397.9259817,1073.5506325396868,1225937464.5590692,2255506.5780702513,52584313.39872896,222837.48977372216,False,False
Chad,physics_colI,,15.98532945,0.368079611549886,9.38e-07,0.021128592739715207,0.1207801095,315.4184887,856.9300738279311,364584619.8158257,1581461.953372379,24012011.682144873,201568.95862883862,False,False
Chad,physics_colI,,15.69506937,0.3613960572428562,9.87e-07,0.020079655511502394,0.1351505474,473.6839381,1310.7058823878838,2522426495.88059,2159348.2734573004,73802420.68389559,171193.37256698697,False,False
Chad,physics_colI,,15.62797459,0.35985112689677407,9.99e-07,0.019838458448301167,0.13754562039999998,421.7266867,1171.9476616255683,1409530045.2657158,1853968.8011446653,51119709.782026984,166191.82414229488,False,False
Chad,fft,high,15.76851635,0.3630872539086785,9.75e-07,0.02032678973318243,0.13575882,1604.3,4418.4971593728915,1023676431708.7241,7809556.000444825,2827447332.8012342,172523.88897629947,False,False
Chad,fft,high,15.8086544,0.36401147620253743,9.68e-07,0.020473780981252958,0.1332116788,2273.3,6245.132773602794,5797105185795.861,11415252.237970084,8134827468.723856,177094.164433722,True,False
Chad,fft,high,15.81073979,0.3640594945773561,9.67e-07,0.020494953453829227,0.1299422141,1909.8,5245.845880814411,2515824781311.8477,9806447.251485204,4967021543.330966,181737.76085860553,True,False
Chad,fft,high,15.58041192,0.3587559446452831,1.01e-06,0.01962239602955729,0.14286800489999998,1909.8,5323.396109542655,2355364399616.102,8668442.480806027,4518555169.45521,158257.95726058254,True,False
Chad,fft,high,14.94846848,0.3442047590319832,1.13e-06,0.01753860176093174,0.1787940998,1604.3,4660.888491233585,872943510480.6493,5404292.471939195,2172013361.4042864,113029.10351250361,False,False
Chad,physics_colI,,14.53236149,0.3346234426305003,1.22e-06,0.016244770483485955,0.1769692822,532.0423875,1589.9734439331996,4043303527.0454936,1644488.6191188397,81542422.29581715,105770.41039809147,False,False
Chad,physics_colI,,14.6170498,0.3365734831564162,1.2e-06,0.016515516658210723,0.17145681270000002,633.3336976,1881.7100255805656,9744906092.002031,2065860.4692793202,141885926.97059926,110990.52797364962,False,False
Chad,physics_colI,,15.52985071,0.3575917177462064,1.02e-06,0.019430019597894966,0.1329455596,473.6839381,1324.6501934817957,2614353818.4221115,2148815.179848765,74951738.94260903,168402.25448414788,False,False
Chad,fft,high,15.44170428,0.3555620502429252,1.03e-06,0.01924137863092511,0.1432481752,1068.3,3004.5388681669538,136858840052.53459,4706698.907003678,802591647.657173,154773.13748063843,False,False
Chad,fft,high,15.24903782,0.351125695272744,1.07e-06,0.01852207475687184,0.15069951339999998,421.7,1200.994417889115,1355415862.9573114,1623082.6754678618,46903645.96937357,141620.55166817943,False,False
Chad,physics_colI,,15.32037015,0.3527681998203965,1.06e-06,0.01869681131118195,0.1500912409,502.0158696,1423.0757473479453,3174051215.353577,1979957.0766723084,79274744.81548116,143535.95263541964,False,False
Chad,fft,high,15.47349116,0.35629397775679844,1.03e-06,0.01924137863092511,0.1433242092,2145.0,6020.309446442984,4225513151702.5684,9605768.317131868,6370973266.012702,154691.02978368415,True,False
Chad,fft,high,15.51181294,0.35717637845679157,1.02e-06,0.019430019597894966,0.1397506083,1513.8,4238.242199947519,773923681899.427,6948380.818436023,2318947275.434127,160202.03584542574,False,False
Chad,fft,high,15.47293849,0.3562812519284349,1.03e-06,0.01924137863092511,0.14355231140000002,1132.2,3177.8264892462585,180115440759.01785,4977925.905465703,946890341.3430133,154445.22834816697,False,False
Chad,fft,high,15.30551349,0.35242610905155536,1.06e-06,0.01869681131118195,0.1460994526,1802.0,5113.1285501222355,1798757778094.0586,7751097.673713657,3733945263.305182,147457.69995317396,True,False
Chad,fft,high,15.08585501,0.3473682334384858,1.1e-06,0.018016927263502607,0.1648038321,1700.3,4894.805673994079,1238873283676.049,6332563.056655608,2800936127.098326,125968.48854409282,False,False
