region,migration,n_points,power_geomean_yr,power_median_yr,linear_geomean_yr,linear_median_yr,geomean_geomean_yr,geomean_median_yr,floor_geomean_yr,floor_median_yr,W_median
RubAlKhali,NW,5,319485213527.20374,247937209171.9592,5542747.528318386,5198300.0296241315,1330723817.1807766,1135276178.638273,152092.89855551967,149888.39420817295,3411.02029961658
RubAlKhali,S,2,483152218307.07904,505645724589.8789,4579158.311673459,4632906.140675286,1487424114.4557023,1526430433.6641817,107092.53154972749,107782.01640493206,4183.030668419643
RubAlKhali,N,1,4937729923.783641,4937729923.783649,1542185.976851637,1542185.9768516377,87263382.04504716,87263382.0450471,92184.65415835763,92184.65415835759,1702.4331640517805
Taklamakan,SW,95,16952611490.408405,272950164228.11868,587801.1458582543,1069110.6619297515,99823666.82982536,570698762.1734656,22596.77917673675,24308.72452651864,5002.858184105116
Taklamakan,W,43,115483124294.05885,974834806009.713,557215.2548221811,784677.5635995332,253670965.0929236,874603338.9438467,11675.653656459534,11573.397430920171,7738.945107116034
Taklamakan,S,34,1158919945.860558,14159028694.045181,543054.413806921,1145703.573532085,25086980.524735413,123404896.66591907,43167.482327968864,45942.14334306567,2399.9480565896765
Taklamakan,SE,27,16269647561.532152,43792760296.30707,973867.7722885786,1002262.4718731154,125874880.04629685,230986910.25573617,39536.80222429075,48589.33035269334,3491.2329844864425
Taklamakan,ESE,3,690568589550.1165,513210563247.53284,1189151.9795149988,1117963.3024163668,906195897.835785,757463250.6750249,17825.146039476665,17805.12258521458,6086.207395202774
Taklamakan,E,1,20155488654158.562,20155488654158.598,20199851.532930262,20199851.53293027,20177657901.442993,20177657901.442978,263023.8588359825,263023.8588359824,7419.597474022579
Taklamakan,N,1,792000389.4757775,792000389.4757773,1135407.1986588235,1135407.1986588242,29987379.73800628,29987379.738006286,104339.1935914756,104339.19359147553,1145.8969896704734
Tengger,SE,32,4810350169.336419,8649273132.187206,914069.6681574914,1069108.6986712364,66309842.27855392,100446460.31448844,48267.56838825643,48972.10439605283,2167.989423353938
Tengger,E,2,12957125747.632576,58257827304.12189,1393806.452170245,1592621.5965055502,134386477.99771953,278036505.930006,62648.35165251884,62841.86653284238,2445.124977005532
Tengger,NW,1,162361314661.88556,162361314661.88562,2015475.4570229815,2015475.4570229822,572044792.7138357,572044792.7138364,50602.3905785201,50602.39057852006,3901.0362590794434
Thar,NE,16,456845484.97957236,576017320.2781951,461136.5774905672,561283.6987023083,14514412.264556136,18281496.44433043,39532.80207895214,43329.27919969162,1245.5465110376433
Thar,N,15,3146550550.704228,10692374717.53063,647591.2403597153,746640.8807615675,45140653.22949046,95434349.67677876,35579.27455559194,29571.829199768996,2286.085892153818
Thar,NW,1,1988742360.1411881,1988742360.1411853,1490011.3432416364,1490011.3432416373,54435729.76819099,54435729.76819096,113748.05664203325,113748.0566420332,1356.9349533073998
WesternSahara,SW,98,55351423.86413327,156688765.69136655,227907.8166877076,319374.61651060265,4256023.942406546,6655323.796945468,33958.047396604125,32022.8433516254,1039.2087686480731
WesternSahara,NONE,33,76984.8094103914,45864.44775668779,36493.243247177634,33866.99635788142,55945.876470249415,40651.81129688189,39848.61608999619,39980.08170610567,191.01074332555933
WesternSahara,NE,21,27858275.220036928,1371085385.5602632,258451.24686425034,566400.5182685254,2683282.684717723,31968633.18350864,55371.13891358794,40705.21402595963,1352.129815705171
WesternSahara,W,21,180413300.7046136,500193592.327109,324481.64786974224,393109.6942865892,7651196.318893677,15068191.789674332,33407.59448425594,31354.860372278486,1290.9559657681546
WesternSahara,SE,2,9099.885093811263,11757.749546523839,10096.126159654566,12034.143678116838,9585.071097570353,11877.055015500575,26846.06407426224,26858.179891104483,152.18578448667202
WesternSahara,E,1,47983.678214335036,47983.67821433503,30193.982461236425,30193.982461236414,38063.34639031679,38063.34639031681,29875.10133803808,29875.10133803809,206.39213359609
WesternSahara,N,1,1849.735708607571,1849.7357086075704,,,,,26092.786682843907,26092.786682843896,109.68080957018948
WhiteSands,NE,1,486.53161234902814,486.5316123490283,,,,,59206.03389338631,59206.03389338635,70.88080286901483
