region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
AlNafudDesert,physics_colI,,58.44654525,1.345795326855327,1.81e-06,0.010949513806548544,0.009048053529999999,446.9509568,332.1091609408205,23434463.801465604,3251133.91262063,8728606.990180356,1394402.566106245,False,False
AlNafudDesert,physics_colI,,52.6000642,1.2111737364433903,2.47e-06,0.008023732789414114,0.01330596107,473.6839381,391.09495512260037,26169563.912503093,2050662.0799734895,7325635.287455468,694830.2343395938,False,False
AlNafudDesert,physics_colI,,53.5038771,1.2319850123189573,2.36e-06,0.008397720334683417,0.0141803528,563.8648481,457.688074499089,55846485.1247508,2491347.0428964435,11795464.194838122,682374.6279352743,False,False
Chad,physics_colI,,18.34587458,0.4224337327592162,6.34e-07,0.031259652980840484,0.08078619221,1801.983335,4265.718372512442,2223707102199.1587,19466692.71268199,6579378606.032605,445856.9215749787,False,False
Chad,physics_colI,,19.59450137,0.4511847238020677,5.19e-07,0.0381861656837242,0.042883211680000005,250.0184145,554.1375878002503,215800000.97347218,4785866.934068479,32137051.654295947,1026046.983330185,False,False
Chad,physics_colI,,17.88026035,0.41171245826521446,6.83e-07,0.02901701316230288,0.09922445255,951.1173591,2310.1495716394256,81431956636.48643,7788730.442789674,796399120.8373667,336963.21591695317,False,False
Chad,physics_colI,,16.84306044,0.38782980128485567,8.11e-07,0.02443726262620575,0.1467837591,597.5906703,1540.858047319262,6281066752.328268,2883568.981998381,134580419.30710092,191832.88117185936,False,False
Chad,physics_colI,,16.59316888,0.38207577609431487,8.46e-07,0.023426264763419462,0.1256462895,532.0423875,1392.5048924553282,4267797860.136379,2894440.534147465,111143542.85304454,214833.43803235696,False,False
Chad,physics_colI,,17.58090115,0.40481938681526164,7.18e-07,0.027602534804809006,0.09451034063,334.2842646,825.7615012705648,506957483.9929949,2530093.418890499,35814100.49000201,336525.62291891,False,False
Chad,physics_colI,,17.63809892,0.40613642773262104,7.11e-07,0.027874289718499107,0.08781934307,297.6174279,732.8016094531065,305564298.3503915,2392455.2175985086,27037915.968140397,365731.295798162,False,False
Chad,physics_colI,,17.83232197,0.41060862488199124,6.89e-07,0.028764325094126075,0.08591849148,473.6839381,1153.6141946266632,3026787854.992456,4229063.814540839,113139201.83490902,385758.9796617992,False,False
Chad,physics_colI,,18.43458189,0.424476315135048,6.25e-07,0.031709791983764585,0.07401916058,502.0158696,1182.6710977744012,4379125868.84318,5562304.849142052,156070602.7901149,493625.6703386156,False,False
